                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    124,                 1.1838,                 1.1229,                 1.6784,                0.74474,                0.68439,                0.75419,                0.40816,                 1.5796,                 1.2677,                  2.027,              0.0013021,              0.0013021,              0.0013021
                    125,                 1.1669,                 1.1122,                 1.6448,                0.76655,                0.67183,                0.75866,                0.41454,                 1.5575,                 1.2395,                 2.0103,              0.0012314,              0.0012314,              0.0012314
                    126,                  1.162,                 1.0841,                 1.6463,                 0.7747,                0.66288,                0.75977,                0.41395,                 1.5599,                 1.2358,                 2.0122,              0.0011607,              0.0011607,              0.0011607
                    127,                 1.1664,                 1.0951,                 1.6553,                 0.7836,                0.67625,                0.76152,                0.41301,                 1.5845,                 1.2674,                 2.0251,                0.00109,                0.00109,                0.00109
                    128,                 1.1633,                 1.0957,                 1.6499,                0.73646,                0.68354,                0.75582,                0.40906,                 1.5562,                  1.246,                  2.017,              0.0010193,              0.0010193,              0.0010193
                    129,                 1.1613,                  1.102,                   1.65,                0.75029,                0.70421,                0.76178,                0.41489,                 1.5638,                 1.2388,                 2.0212,             0.00094857,             0.00094857,             0.00094857
                    130,                 1.1472,                 1.0911,                  1.633,                0.71812,                0.69659,                0.75269,                0.41704,                  1.562,                 1.2434,                 2.0138,             0.00087786,             0.00087786,             0.00087786
                    131,                 1.1515,                 1.0839,                 1.6326,                0.76706,                0.66089,                0.74874,                0.41549,                 1.5651,                 1.2663,                 2.0208,             0.00080714,             0.00080714,             0.00080714
                    132,                  1.147,                 1.0671,                 1.6408,                0.72775,                0.70329,                0.75616,                0.41694,                 1.5654,                 1.2671,                 2.0227,             0.00073643,             0.00073643,             0.00073643
                    133,                 1.1461,                 1.0664,                 1.6337,                0.76813,                0.70173,                0.76261,                0.41408,                 1.5758,                 1.2602,                  2.028,             0.00066571,             0.00066571,             0.00066571
                    134,                 1.1378,                 1.0538,                 1.6217,                0.74607,                0.70477,                0.76168,                0.42239,                 1.5539,                 1.2435,                 2.0093,               0.000595,               0.000595,               0.000595
                    135,                 1.1486,                 1.0456,                 1.6236,                 0.7326,                0.71316,                0.76228,                0.41776,                 1.5663,                 1.2417,                 2.0261,             0.00052429,             0.00052429,             0.00052429
                    136,                 1.1203,                 1.0517,                 1.6136,                0.73297,                 0.7187,                0.76503,                0.41788,                 1.5664,                 1.2333,                 2.0286,             0.00045357,             0.00045357,             0.00045357
                    137,                 1.1259,                 1.0386,                 1.6072,                0.74725,                0.70914,                0.76921,                0.42531,                 1.5615,                 1.2261,                 2.0259,             0.00038286,             0.00038286,             0.00038286
                    138,                 1.1322,                 1.0598,                 1.6195,                0.75777,                0.69363,                0.76374,                0.41904,                 1.5709,                 1.2537,                 2.0308,             0.00031214,             0.00031214,             0.00031214
                    139,                 1.1313,                 1.0604,                 1.6192,                0.75892,                0.70225,                0.76465,                0.41988,                 1.5635,                 1.2505,                 2.0269,             0.00024143,             0.00024143,             0.00024143
